Season;Episode;Rating;Code
1;1;8.0;tt5491994
1;2;7.3;tt5491994
1;3;6.9;tt5491994
1;4;6.8;tt5491994
1;5;6.8;tt5491994
1;6;6.8;tt5491994
1;1;8.5;tt0185906
1;2;8.8;tt0185906
1;3;8.6;tt0185906
1;4;8.5;tt0185906
1;5;8.4;tt0185906
1;6;8.7;tt0185906
1;7;8.9;tt0185906
1;8;8.4;tt0185906
1;9;8.9;tt0185906
1;10;8.6;tt0185906
1;1;9.1;tt0944947
1;2;8.8;tt0944947
1;3;8.7;tt0944947
1;4;8.8;tt0944947
1;5;9.1;tt0944947
1;6;9.2;tt0944947
1;7;9.3;tt0944947
1;8;9.1;tt0944947
1;9;9.6;tt0944947
1;10;9.5;tt0944947
2;1;8.9;tt0944947
2;2;8.6;tt0944947
2;3;8.9;tt0944947
2;4;8.9;tt0944947
2;5;8.9;tt0944947
2;6;9.1;tt0944947
2;7;9.0;tt0944947
2;8;8.9;tt0944947
2;9;9.7;tt0944947
2;10;9.4;tt0944947
3;1;8.9;tt0944947
3;2;8.7;tt0944947
3;3;8.9;tt0944947
3;4;9.6;tt0944947
3;5;9.0;tt0944947
3;6;8.9;tt0944947
3;7;8.8;tt0944947
3;8;9.1;tt0944947
3;9;9.9;tt0944947
3;10;9.2;tt0944947
4;1;9.1;tt0944947
4;2;9.7;tt0944947
4;3;8.9;tt0944947
4;4;8.9;tt0944947
4;5;8.8;tt0944947
4;6;9.7;tt0944947
4;7;9.2;tt0944947
4;8;9.7;tt0944947
4;9;9.6;tt0944947
4;10;9.7;tt0944947
5;1;8.6;tt0944947
5;2;8.6;tt0944947
5;3;8.6;tt0944947
5;4;8.8;tt0944947
5;5;8.7;tt0944947
5;6;8.1;tt0944947
5;7;9.1;tt0944947
5;8;9.9;tt0944947
5;9;9.5;tt0944947
5;10;9.1;tt0944947
6;1;8.6;tt0944947
6;2;9.4;tt0944947
6;3;8.8;tt0944947
6;4;9.2;tt0944947
6;5;9.7;tt0944947
6;6;8.5;tt0944947
6;7;8.7;tt0944947
6;8;8.5;tt0944947
6;9;9.9;tt0944947
6;10;9.9;tt0944947
7;1;8.7;tt0944947
7;2;9.0;tt0944947
7;3;9.3;tt0944947
7;4;9.8;tt0944947
7;5;9.0;tt0944947
7;6;9.2;tt0944947
7;7;9.5;tt0944947
8;1;8.3;tt0944947
8;2;8.6;tt0944947
8;3;8.2;tt0944947
8;4;6.4;tt0944947
8;5;7.3;tt0944947
1;1;7.9;tt0795176
1;2;7.5;tt0795176
1;3;7.4;tt0795176
1;4;7.3;tt0795176
1;5;7.3;tt0795176
1;6;7.3;tt0795176
1;7;7.2;tt0795176
1;8;7.3;tt0795176
1;9;7.2;tt0795176
1;10;7.2;tt0795176
1;11;7.2;tt0795176
1;1;8.9;tt0903747
1;2;8.7;tt0903747
1;3;8.7;tt0903747
1;4;8.2;tt0903747
1;5;8.3;tt0903747
1;6;9.2;tt0903747
1;7;8.8;tt0903747
2;1;8.7;tt0903747
2;2;9.2;tt0903747
2;3;8.3;tt0903747
2;4;8.1;tt0903747
2;5;8.3;tt0903747
2;6;8.8;tt0903747
2;7;8.7;tt0903747
2;8;9.0;tt0903747
2;9;8.9;tt0903747
2;10;8.6;tt0903747
2;11;8.8;tt0903747
2;12;9.1;tt0903747
2;13;9.1;tt0903747
3;1;8.6;tt0903747
3;2;8.7;tt0903747
3;3;8.4;tt0903747
3;4;8.1;tt0903747
3;5;8.7;tt0903747
3;6;9.2;tt0903747
3;7;9.5;tt0903747
3;8;8.8;tt0903747
3;9;8.4;tt0903747
3;10;7.6;tt0903747
3;11;8.5;tt0903747
3;12;9.4;tt0903747
3;13;9.5;tt0903747
4;1;9.1;tt0903747
4;2;8.2;tt0903747
4;3;7.9;tt0903747
4;4;8.7;tt0903747
4;5;8.7;tt0903747
4;6;8.5;tt0903747
4;7;8.8;tt0903747
4;8;9.1;tt0903747
4;9;8.8;tt0903747
4;10;9.5;tt0903747
4;11;9.5;tt0903747
4;12;9.4;tt0903747
4;13;9.8;tt0903747
5;1;9.2;tt0903747
5;2;8.8;tt0903747
5;3;8.8;tt0903747
5;4;8.8;tt0903747
5;5;9.5;tt0903747
5;6;8.8;tt0903747
5;7;9.4;tt0903747
5;8;9.5;tt0903747
5;9;9.4;tt0903747
5;10;9.0;tt0903747
5;11;9.5;tt0903747
5;12;8.9;tt0903747
5;13;9.7;tt0903747
5;14;9.9;tt0903747
5;15;9.6;tt0903747
5;16;9.9;tt0903747
1;1;9.2;tt9253866
1;2;9.4;tt9253866
1;3;9.2;tt9253866
1;4;9.1;tt9253866
1;5;9.2;tt9253866
1;6;9.3;tt9253866
1;7;9.3;tt9253866
1;8;9.4;tt9253866
1;1;8.0;tt0306414
1;2;8.3;tt0306414
1;3;8.2;tt0306414
1;4;8.3;tt0306414
1;5;8.3;tt0306414
1;6;8.4;tt0306414
1;7;8.3;tt0306414
1;8;8.3;tt0306414
1;9;8.3;tt0306414
1;10;8.6;tt0306414
1;11;8.4;tt0306414
1;12;8.4;tt0306414
1;13;8.4;tt0306414
2;1;7.8;tt0306414
2;2;8.1;tt0306414
2;3;8.1;tt0306414
2;4;8.0;tt0306414
2;5;8.2;tt0306414
2;6;8.3;tt0306414
2;7;8.3;tt0306414
2;8;8.3;tt0306414
2;9;8.3;tt0306414
2;10;8.4;tt0306414
2;11;8.5;tt0306414
2;12;8.4;tt0306414
3;1;8.1;tt0306414
3;2;8.3;tt0306414
3;3;8.3;tt0306414
3;4;8.3;tt0306414
3;5;8.4;tt0306414
3;6;8.3;tt0306414
3;7;8.3;tt0306414
3;8;8.4;tt0306414
3;9;8.4;tt0306414
3;10;8.4;tt0306414
3;11;8.9;tt0306414
3;12;8.6;tt0306414
4;1;8.3;tt0306414
4;2;8.3;tt0306414
4;3;8.3;tt0306414
4;4;8.3;tt0306414
4;5;8.3;tt0306414
4;6;8.3;tt0306414
4;7;8.4;tt0306414
4;8;8.3;tt0306414
4;9;8.3;tt0306414
4;10;8.3;tt0306414
4;11;8.3;tt0306414
